IoUs for image 173: {1: 0.0, 2: 0.0, 3: 0.41828571428571426}
IoUs for image 174: {1: 0.046452271567126086, 2: 0.0, 3: 0.0}
IoUs for image 175: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 176: {1: 0.0, 2: 0.0, 3: 0.012912151256629006}
IoUs for image 177: {1: 0.08965813803483122, 2: 0.0, 3: 0.0}
IoUs for image 178: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 179: {1: 0.0, 2: 0.5511569556732646, 3: 0.0}
IoUs for image 180: {1: 0.0, 2: 0.0, 3: 0.6270012981393336}
IoUs for image 181: {1: 0.0, 2: 0.0, 3: 0.7344575029807529}
IoUs for image 182: {1: 0.0, 2: 0.1339256061109266, 3: 0.0}
IoUs for image 183: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 184: {1: 0.0, 2: 0.0, 3: 0.7149352125483064}
IoUs for image 185: {1: 0.0, 2: 0.005108940646130729, 3: 0.0}
IoUs for image 186: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 187: {1: 0.0, 2: 0.0, 3: 0.7981651376146789}
IoUs for image 188: {1: 0.0, 2: 0.5718168691072794, 3: 0.0}
IoUs for image 189: {1: 0.0, 2: 0.0002516567402063585, 3: 0.0}
IoUs for image 190: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 191: {1: 0.0, 2: 0.4197213290460879, 3: 0.0}
IoUs for image 192: {1: nan, 2: 0.0, 3: 0.7740198552919401}
IoUs for image 193: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 194: {1: 0.0, 2: 0.0, 3: 0.020679012345679013}
IoUs for image 195: {1: 0.0, 2: 0.7528450237947445, 3: 0.0}
IoUs for image 196: {1: 0.0, 2: 0.0, 3: 0.33562731604023294}
IoUs for image 197: {1: 0.05134243994347621, 2: 0.0, 3: 0.0}
IoUs for image 198: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 199: {1: 0.0, 2: 0.06047174291594111, 3: 0.0}
IoUs for image 200: {1: 0.05134534682794372, 2: 0.0, 3: 0.8519491896627245}
IoUs for image 201: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 202: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 203: {1: 0.0, 2: 0.0, 3: 0.3423125794155019}
IoUs for image 204: {1: nan, 2: 0.6478426395939086, 3: 0.0}
IoUs for image 205: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 206: {1: 0.0, 2: 0.0, 3: 0.6842672413793104}
IoUs for image 207: {1: 0.0, 2: 0.39360827732920756, 3: 0.0}
IoUs for image 208: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 209: {1: 0.0, 2: 0.0, 3: 0.730273898059133}
IoUs for image 210: {1: 0.4989180091368117, 2: 0.0, 3: 0.6387240356083086}
IoUs for image 211: {1: 0.0021921812203142127, 2: 0.0, 3: 0.0}
IoUs for image 212: {1: 0.0, 2: 0.0, 3: 0.5441254651780968}
IoUs for image 213: {1: 0.0, 2: 0.8281984334203656, 3: 0.0}
IoUs for image 214: {1: 0.0, 2: 0.8641242292760904, 3: 0.5929868503443957}
IoUs for image 215: {1: 0.07403221248940378, 2: 0.0, 3: 0.0}
IoUs for image 216: {1: 0.25679554279925715, 2: 0.0, 3: 0.0}
IoUs for image 217: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 218: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 219: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 220: {1: 0.0, 2: 0.0, 3: nan}
IoUs for image 221: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 222: {1: 0.0, 2: 0.09832656698683039, 3: 0.0}
IoUs for image 223: {1: 0.0, 2: 0.1505056513979774, 3: 0.0}
IoUs for image 224: {1: 0.0, 2: 0.09062615392730917, 3: 0.0}
IoUs for image 225: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 226: {1: 0.2587127957262783, 2: 0.0, 3: 0.0}
IoUs for image 227: {1: 0.28916389978871115, 2: 0.0, 3: 0.0}
IoUs for image 228: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 229: {1: nan, 2: 0.825929938605995, 3: 0.6975259377494014}
IoUs for image 230: {1: 0.0, 2: 0.0, 3: 0.5589905362776025}
IoUs for image 231: {1: nan, 2: 0.7444693812119269, 3: 0.665111456713323}
IoUs for image 232: {1: 0.0, 2: 0.0, 3: 0.3706855791962175}
IoUs for image 233: {1: 0.0, 2: 0.0, 3: 0.6281512605042017}
IoUs for image 234: {1: 0.2730950775455158, 2: 0.0, 3: 0.0}
IoUs for image 235: {1: 0.02407372578521723, 2: 0.0, 3: 0.0}
IoUs for image 236: {1: 0.2476003490401396, 2: 0.0, 3: 0.4301775147928994}
IoUs for image 237: {1: 0.1785898627025911, 2: 0.0, 3: 0.0}
IoUs for image 238: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 239: {1: 0.24784802612051055, 2: 0.0, 3: 0.6168511685116851}
IoUs for image 240: {1: 0.0, 2: 0.8420626076385371, 3: 0.0}
IoUs for image 241: {1: 0.04617834394904458, 2: 0.0, 3: 0.0}
IoUs for image 242: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 243: {1: 0.0, 2: 0.7257001647446458, 3: 0.7852729145211123}
IoUs for image 244: {1: 0.10303742238630642, 2: 0.0, 3: 0.0}
IoUs for image 245: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 246: {1: 0.0, 2: 0.0, 3: nan}
IoUs for image 247: {1: 0.0, 2: 0.0, 3: nan}
IoUs for image 248: {1: 0.01768092105263158, 2: 0.0, 3: 0.0}
IoUs for image 249: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 250: {1: 0.0, 2: 0.0, 3: 0.45001384657989474}
IoUs for image 251: {1: 0.24076029567053855, 2: 0.0, 3: 0.46034743202416917}
IoUs for image 252: {1: 0.0, 2: 0.45191876122082586, 3: 0.0}
IoUs for image 253: {1: 0.0, 2: 0.0, 3: 0.8055014605647517}
IoUs for image 254: {1: 0.0, 2: 0.0, 3: 0.782482691998068}
IoUs for image 255: {1: 0.0, 2: 0.0, 3: 0.8404952658412236}
IoUs for image 256: {1: 0.0, 2: 0.6324931158652828, 3: 0.0}
IoUs for image 257: {1: 0.014700968927497494, 2: 0.0, 3: 0.0}
IoUs for image 258: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 259: {1: 0.0, 2: 0.0, 3: 0.2518873135702449}
IoUs for image 260: {1: 0.0, 2: 0.024014845540879817, 3: 0.0}
IoUs for image 261: {1: 0.006343452650657001, 2: 0.0, 3: 0.0}
IoUs for image 262: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 263: {1: 0.010638297872340425, 2: 0.0, 3: 0.0}
IoUs for image 264: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 265: {1: 0.0, 2: 0.8824675324675325, 3: 0.7018819503849444}
IoUs for image 266: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 267: {1: 0.241733690795353, 2: 0.0, 3: 0.5324797001873829}
IoUs for image 268: {1: 0.018140589569160998, 2: 0.0, 3: 0.0}
IoUs for image 269: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 270: {1: 0.013135946622185155, 2: 0.0, 3: 0.0}
IoUs for image 271: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 272: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 273: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 274: {1: 0.0, 2: 0.7770390070921985, 3: 0.0}
IoUs for image 275: {1: 0.17268392370572208, 2: 0.0, 3: 0.0}
IoUs for image 276: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 277: {1: 0.0, 2: 0.0, 3: 0.0827893175074184}
IoUs for image 278: {1: 0.0, 2: 0.563993284256748, 3: 0.0}
IoUs for image 279: {1: 0.0, 2: 0.0, 3: 0.6378459558034757}
IoUs for image 280: {1: 0.13415073927154705, 2: 0.0, 3: 0.0}
IoUs for image 281: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 282: {1: 0.7060518731988472, 2: 0.0, 3: 0.8250551876379691}
IoUs for image 283: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 284: {1: 0.0, 2: 0.6826939327361838, 3: 0.0}
IoUs for image 285: {1: 0.0, 2: 0.7780713342140027, 3: 0.0}
IoUs for image 286: {1: 0.0, 2: 0.6920470400637831, 3: 0.0}
IoUs for image 287: {1: 0.29827844311377244, 2: 0.0, 3: 0.8998978549540347}
IoUs for image 288: {1: 0.027932203389830507, 2: 0.0, 3: 0.0}
IoUs for image 289: {1: 0.2863157894736842, 2: 0.0, 3: 0.4251810136765889}
IoUs for image 290: {1: 0.6464891041162227, 2: 0.0, 3: 0.6147286821705427}
IoUs for image 291: {1: 0.0, 2: 0.8497757847533632, 3: 0.684942084942085}
IoUs for image 292: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 293: {1: 0.0, 2: 0.0, 3: 0.6906568961004973}
IoUs for image 294: {1: 0.0, 2: 0.7002918956043956, 3: 0.0}
IoUs for image 295: {1: 0.02631578947368421, 2: 0.0, 3: 0.0}
IoUs for image 296: {1: 0.0, 2: 0.6655211912943871, 3: 0.0}
IoUs for image 297: {1: 0.0, 2: 0.0, 3: nan}
IoUs for image 298: {1: 0.0, 2: 0.0, 3: 0.009595613433858808}
IoUs for image 299: {1: 0.0, 2: 0.829601310759148, 3: 0.0}
IoUs for image 300: {1: 0.0, 2: 0.0, 3: 0.016262196647485613}
IoUs for image 301: {1: 0.0, 2: 0.0, 3: 0.5771332492643968}
IoUs for image 302: {1: 0.0, 2: 0.9136077608809648, 3: 0.8783855549654807}
IoUs for image 303: {1: 0.0, 2: 0.5605036677641079, 3: 0.0}
IoUs for image 304: {1: 0.08146897425073871, 2: 0.0, 3: 0.0}
IoUs for image 305: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 306: {1: 0.0, 2: 0.6989026063100137, 3: 0.0}
IoUs for image 307: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 308: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 309: {1: 0.0, 2: 0.10806740767300108, 3: 0.0}
IoUs for image 310: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 311: {1: 0.0, 2: 0.0, 3: 0.3376721373325788}
IoUs for image 312: {1: 0.280307510348906, 2: 0.0, 3: 0.0}
IoUs for image 313: {1: nan, 2: 0.7325820351342394, 3: 0.0}
IoUs for image 314: {1: 0.0, 2: 0.005639913232104121, 3: 0.0}
IoUs for image 315: {1: 0.0, 2: 0.0, 3: nan}
IoUs for image 316: {1: nan, 2: 0.9027917252460333, 3: 0.5194274028629857}
IoUs for image 317: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 318: {1: nan, 2: 0.7707156308851224, 3: 0.6756965944272446}
IoUs for image 319: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 320: {1: 0.0, 2: 0.0, 3: 0.5926733536851286}
IoUs for image 321: {1: 0.0, 2: 0.0, 3: 0.4296003717472119}
IoUs for image 322: {1: 0.020933014354066987, 2: 0.0, 3: 0.0}
IoUs for image 323: {1: 0.0, 2: 0.005098943790214884, 3: 0.0}
IoUs for image 324: {1: 0.0, 2: 0.9146555857439668, 3: 0.0}
IoUs for image 325: {1: 0.0, 2: 0.7997886951928156, 3: 0.717741935483871}
IoUs for image 326: {1: nan, 2: 0.8750677017512186, 3: 0.0}
IoUs for image 327: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 328: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 329: {1: 0.0, 2: 0.8399382398353062, 3: 0.0}
IoUs for image 330: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 331: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 332: {1: 0.12815626488804194, 2: 0.0, 3: 0.0}
IoUs for image 333: {1: 0.0, 2: 0.6135709818636648, 3: 0.0}
IoUs for image 334: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 335: {1: 0.0, 2: 0.9066268392521296, 3: 0.7109737248840804}
